第一章 雪婷镇
小北 这是一个天真活泼的小沙弥，刚进寺不久，尚未剃度
小南 青衣小沙弥，尚未剃度。
巡寺僧人 身穿黄色僧衣的僧人，负责看守藏经阁。
进香客 来寺里进香的中年男子，看起来满脸疲惫。
狱卒 一名看起来凶神恶煞的狱卒
钟楼 行者 游历四方学艺的僧人，看起来武功修为颇高。
月台 行者 他是一位云游四方的行者，风霜满面，行色匆匆，似乎正在办一件急事。
扫地僧 一个年老的僧人，看上去老态龙钟，但是双目间却有一股精气？
托钵僧 他是一位未通世故的青年和尚，脸上挂着孩儿般的微笑。
灰衣僧 一名灰衣僧人，灰布蒙面，一双眼睛里透着过人的精明。
守药僧 一位守着少林药楼的高僧。
砍柴僧 一名年轻僧人，身穿灰色僧衣。
澄X 他是一位须发花白的老僧，身穿一袭金边黑布袈裟。他身材瘦高，太阳穴高高鼓起，似乎身怀绝世武功。
虚X 他是一位身穿黄布袈裟的青年僧人。脸上稚气未脱，身手却已相当矫捷，看来似乎学过一点武功。
道X禅师 他是一位身材高大的中年僧人，两臂粗壮，膀阔腰圆。他手持兵刃，身穿一袭灰布镶边袈裟，似乎有一身武艺。
慧X尊者 他是一位两鬓斑白的老僧，身穿一袭青布镶边袈裟。他身材略高，太阳穴微凸，双目炯炯有神。
清X比丘 他是一位体格强健的壮年僧人，他身得虎背熊腰，全身似乎蕴含着无穷劲力。他身穿一袭白布黑边袈裟，似乎身怀武艺。
玄难大师 他是一位白须白眉的老僧，身穿一袭银丝棕黄袈裟。他身材极瘦，两手更象鸡爪一样。他双目微闭，一副没精打采的模样。
玄慈大师 他是一位白须白眉的老僧，身穿一袭金丝绣红袈裟。他身材略显佝偻，但却满面红光，目蕴慈笑，显得神完气足。
玄痛大师 他是一位白须白眉的老僧，身穿一袭银丝棕黄袈裟。他身材高大，两手过膝。双目半睁半闭，却不时射出一缕精光。
玄苦大师 他是一位白须白眉的老僧，身穿一袭银丝棕黄袈裟。他身材瘦高，脸上满布皱纹，手臂处青筋绽露，似乎久经风霜。
玄悲大师 他是一位白须白眉的老僧，身穿一袭银丝棕黄袈裟。他身材甚高，但骨瘦如柴，顶门高耸，双目湛然有神。
盈盈 魔教任教主之女，有倾城之貌，闭月之姿，流转星眸顾盼生辉，发丝随意披散，慵懒不羁。
打坐僧人 正在禅室打坐修行的僧人。
守经僧人 似乎常年镇守于藏经阁，稀稀疏疏的几根长须已然全白，正拿着经书仔细研究。
小沙弥 一名憨头憨脑的和尚，手里端着茶盘。
黑衣大汉 黑布蒙面，只露出一双冷电般的眼睛的黑衣大汉。
萧远山 契丹绝顶高手之一，曾随汉人学武，契丹鹰师总教头。
白眉老僧 少林寺高僧，武功修为无人能知。
叶十二娘 颇有姿色的中年女子，一双大眼里似乎隐藏着无穷愁苦、无限伤心。
冷幽兰 “吐秀乔林之下，盘根众草之旁。虽无人而见赏，且得地而含芳。”她如同空谷幽兰一般素雅静谧，纤巧削细，面若凝脂，眉目如画，神若秋水。
慧轮 少林寺弟子，虚竹的师傅，武功修为平平。
达摩老祖 这是少林派的开山祖师达摩老祖他身材高大，看起来不知有多大年纪，目光如炬，神光湛然！

第十四章 唐门
高一毅 五代十国神枪王后人，英气勃发，目含剑气。
张之岳 张宪之子，身形高大，威风凛凛
唐门弟子 这是唐门的弟子，不苟言笑。
唐风 唐风是唐门一个神秘之人，世人对他知之甚少。他在唐门默默地传授武艺，极少说话。
唐看 这是嫡系死士之一，一身的功夫却是不凡。
唐怒 唐门门主，在江湖中地位很高。
方媃 一个美丽的中年妇女，使得一手好暗器。
唐鹤 唐门中的高层，野心很大，一直想将唐门称霸武林。
唐镖 唐门中所有的绝门镖法，他都会用。
唐缘 人如其名，虽然年幼，但已是能看出美人胚子了。
唐芳 虽然是一个少女，但武艺已达精进之境界了。
唐健 他身怀绝技，心气也甚高。
唐舌 这是嫡系死士之一，一身的功夫却是不凡。用毒高手。
唐情 一个小女孩，十分可爱。
唐刚 一个尚未成年的小男孩，但也已经开始学习唐门的武艺。
欧阳敏 一个老妇人，眼睛中射出道道精光，一看就是武艺高强之人。
程倾城 曾是两淮一代最有天赋的年轻剑客，在观海庄追杀徽北剧盗之战一剑破对方七人刀阵，自此“倾城剑客”之名响彻武林。
无名剑客 一位没有名字的剑客，他很可能是曾经冠绝武林的剑术高手。
默剑客 这是一个沉默不语的剑客，数年来不曾说过一句话，专注地参悟着剑池绝学。
竺霁庵 湖竺家一门七进士，竺霁庵更是天子门生独占鳌头，随身喜携带一柄折扇。后因朝廷乱政心灰意冷，弃仕从武，更拜入少林成为俗家弟子。不足二十三岁便学尽少林绝学，武功臻至登峰造极之化境。后在燕北之地追凶时偶遇当时也是少年的鹿熙吟和谢麟玄，三人联手血战七日，白袍尽赤，屠尽太行十八夜骑。三人意气相投，志同道合，结为异姓兄弟，在鹿谢二人引荐下，终成为浣花剑池这一代的破军剑神。
甄不恶 他的相貌看起来是那么宁静淡泊、眼睛眉毛都透着和气，嘴角弯弯一看就象个善笑的人。他不象个侠客，倒象一个孤隐的君子。不了解的人总是怀疑清秀如竹的他怎么能拿起手中那把重剑？然而，他确是浣花剑派最嫉恶如仇的剑神，武林奸邪最惧怕的名字，因为当有恶人听到『甄不恶』被他轻轻从嘴里吐出，那便往往是他听到的最后三个字。
素厉铭 本是淮南渔家子弟，也并无至高的武学天赋，然其自幼喜观察鱼虫鸟兽，竟不自觉地悟出了一套气脉运转的不上心法。后因此绝学获难，被千夜旗余孽追杀，欲夺其心法为己用。上代封山剑主出手相救，并送至廉贞剑神门下，专心修炼内功，最终竟凭借其一颗不二之心，成就一代剑神。
骆祺樱 塞外武学世家骆家家主的千金，自幼聪慧无比，年纪轻轻便习尽骆家绝学，十八岁通过剑池试炼，成为剑池数百年来最年轻的七杀剑神。她双眸似水，却带着谈谈的冰冷，似乎能看透一切；四肢纤长，有仙子般脱俗气质。她一袭白衣委地，满头青丝用蝴蝶流苏浅浅绾起，虽峨眉淡扫，不施粉黛，却仍然掩不住她的绝世容颜。
谢麟玄 一袭青缎长衫，儒雅中透着英气，好一个翩翩公子。书香门第之后，其剑学领悟大多出自绝世的琴谱，棋谱，和书画，剑法狂放不羁，处处不合武学常理，却又有着难以言喻的写意和潇洒。他擅长寻找对手的薄弱环节，猛然一击，敌阵便土崩瓦解。
祝公博 曾经的湘西农家少年，全家遭遇匪祸，幸得上一代巨门剑神出手相救。剑神喜其非凡的武学天赋和不舍不弃的勤奋，收作关门弟子，最终得以承接巨门剑神衣钵。祝公博嫉恶如仇，公正不阿，视天道正义为世间唯一准则。
黄衫少女 身着鹅黄裙衫的少女，一席华贵的栗色秀发真达腰际，碧色的瞳孔隐隐透出神秘。她见你走过来，冲你轻轻一笑。
鹿熙吟 浣花剑派当世的首席剑神，他身形挺拔，目若朗星。虽然已是中年，但岁月的雕琢更显出他的气度。身为天下第一剑派的首席，他待人和善，却又不怒自威。百晓公见过鹿熙吟之后，惊为天人，三月不知如何下笔，最后据说在百晓图录贪狼剑神鹿熙吟那一页，只留下了两个字：不凡。他的家世出身是一个迷，从来无人知晓。
武器库 独臂剑客 他一生守护在这，剑重要过他的生命。
密道 无情剑客 神秘的江湖侠客，如今在这里不知道作甚么。
密道 黑衣剑客 一身黑衣，手持长剑，就像世外高人一样。
地牢 青衣剑客 一个风程仆仆的侠客。
地窖 紫衣剑客 傲然而立，一脸严肃，好像是在瞪着你一样。

第十五章 青城山
海公公 海公公是皇帝身边的红人，不知为什么在此？
仵作 这是福州城外的一个仵作，专门检验命案死尸。
恶少 这是福州城中人见人恶的恶少，最好别惹。
仆人 恶少带着这个仆人，可是威风得紧的。
屠夫 一个卖肉的屠夫。
酒店老板 酒店老板是福州城有名的富人。
店小二 这个店小二忙忙碌碌，招待客人手脚利索。
女侍 这是一个女店小二，在福州城内，可是独一无二哦。
酒店女老板 一个漂亮的女老板，体格风骚。
小甜 花店中卖花的姑娘，花衬人脸，果然美不胜收。
阿美 此人三十来岁，专门福州驾驶马车。
镖局弟子 福威镖局的弟子。
黄衣镖师 这个镖师穿着一身黄衣。
红衣镖师 这个镖师穿着一身红衣。
白衣镖师 这个镖师穿着一身白衣。
林师弟 林师弟是华山众最小的一个弟子。
兵器贩子 一个贩卖兵器的男子，看不出有什么来历。
读千里 此人学富五车，摇头晃脑，只和人谈史论经。
福州捕快 福州的捕快，整天懒懒散散，不务正业。
福州府尹 此人官架子很大。
童泽 一个青年人，眼神有悲伤、亦有仇恨。
木道神 木道神是青城山的祖师级人物了，年纪虽大，但看不出岁月沧桑。
童隆 一个眼神凶恶的老头，身材有点佝偻。
背剑老人 背着一把普通的剑，神态自若，似乎有一股剑势与围于周身，退隐江湖几十年，如今沉醉于花道。
游方郎中 一个到处贩卖药材的赤脚医生。
青城派弟子 青城派的弟子，年纪刚过二十，武艺还过得去。
青城弟子 青城派的弟子，年纪刚过二十，武艺不错，资质上乘。
侯老大 他就是「英雄豪杰，青城四秀」之一，武功也远高同门。
罗老四 他就是「英雄豪杰，青城四秀」之一，武功也远高同门。
吉人英 他就是和申人俊焦孟不离的吉人通。
贾老二 他就是「青城派」中最为同门不齿、最下达的家伙。
余大掌门 青城派十八代掌门人
黄袍老道 一个穿着黄色道袍的老道士。
青袍老道 一个穿着青色道袍的老道士。
于老三 他就是「英雄豪杰，青城四秀」之一，武功也远高同门。
林总镖头 他就是「福武镖局」的总镖头。

第十六章 逍遥林
蒙面人 一个蒙着面部，身穿黑色夜行衣服的神秘人。
吴统领 他雅擅丹青，山水人物，翎毛花卉，并皆精巧。拜入师门之前，在大宋朝廷做过领军将军之职，因此大家便叫他吴统领
冯巧匠 据说他就是鲁班的后人，本来是木匠出身。他在精于土木工艺之学，当代的第一巧匠，设计机关的能手
范棋痴 他师从先生，学的是围棋，当今天下，少有敌手
苏先生 此人就是苏先生，据说他能言善辩，是一个武林中的智者，而他的武功也是无人能知。
石师妹 她精于莳花，天下的奇花异卉，一经她的培植，无不欣欣向荣。
薛神医 据说他精通医理，可以起死回生。
康琴癫 只见他高额凸颡，容貌奇古，笑眯眯的脸色极为和谟，手中抱着一具瑶琴。
苟书痴 他看上去也是几十岁的人了，性好读书，诸子百家，无所不窥，是一位极有学问的宿儒，却是纯然一个书呆子的模样。
李唱戏 他看起来青面獠牙，红发绿须，形状可怕之极，直是个妖怪，身穿一件亮光闪闪的锦袍。他一生沉迷扮演戏文，疯疯颠颠，于这武学一道，不免疏忽了。
常一恶 马帮帮主，总管事，喜欢钱财的老狐狸。
逍遥祖师 他就是逍遥派开山祖师、但是因为逍遥派属于一个在江湖中的秘密教派，所以他在江湖中不是很多人知道，但其实他的功夫却是。。。。他年满七旬，满脸红光，须眉皆白。
天山姥姥 她乍一看似乎是个十七八岁的女子，可神情却是老气横秋。双目如电，炯炯有神，向你瞧来时，自有一股凌人的威严。

第十七章 开封
骆驼 这是一条看起来有些疲惫的骆驼。
新娘 新郎官的未婚妻，被高衙内抓到此处。
耶律夷烈 辽德宗耶律大石之子，身材高大，满面虬髯。
毒蛇 一条剧毒的毒蛇。
野猪 一只四肢强健的野猪，看起来很饿
黑鬃野猪 这是一直体型较大的野猪，一身黑色鬃毛
野猪王 这是野猪比普通野猪体型大了近一倍，一身棕褐色鬃毛竖立着，看起来很凶残。
鹿杖老人 此人好色奸诈，但武功卓绝，乃是一代武林高手。经常与鹤发老人同闯武林。
鹤发老人 此人愚钝好酒，但武功卓绝，乃是一代武林高手。经常与鹿杖老人同闯武林。
白面人 一个套着白色长袍，带着白色面罩的人，犹如鬼魅，让人见之心寒
官兵 这是一名官兵，虽然武艺不能跟武林人士比，但他们靠的是人多力量大
七煞堂弟子 江湖上臭名昭著的七煞堂弟子，最近经常聚集在禹王台，不知道有什么阴谋。
七煞堂打手 七煞堂打手，还有点功夫的
七煞堂护卫 七煞堂护卫，似乎有一身武艺
七煞堂护法 武功高强的护卫，乃总舵主的贴身心腹。
七煞堂总舵主 这是七煞堂总舵主，看起道貌岸然，但眼神藏有极深的戾气。
七煞堂堂主 这是七煞堂堂主，看起来一表人才，不过据说手段极为残忍。
小男孩 一个衣衫褴褛，面有饥色的10多岁小男孩，正跪在大堂前，眼里布满了绝望！
灯笼小贩 这是一个勤劳朴实的手艺人，据说他做的灯笼明亮又防风。
赵大夫 赵大夫医术高明，尤其善治妇科各种疑难杂症。
展昭 这就是大名鼎鼎的南侠。
欧阳春 这是大名鼎鼎的北侠。
包拯 他就是朝中的龙图大学士包丞相。只见他面色黝黑，相貌清奇，气度不凡。让你不由自主，好生敬仰。
新郎官 这是一名披着大红花的新郎官，脸上喜气洋洋。
混混张三 他长得奸嘴猴腮的，一看就不像是个好人。
铁翼 他是大旗门的元老。他刚正不阿，铁骨诤诤。
刘财主 开封府中的富户，看起来脑满肠肥，养尊处优。
武官 这名武官看起来养尊处优，不知道能不能出征打仗。
高衙内 这就是开封府内恶名远扬的高衙内，专一爱调戏淫辱良家妇女。
护寺僧人 他是一位身材高大的青年僧人，两臂粗壮，膀阔腰圆。他手持兵刃，身穿一袭白布镶边袈裟，似乎有一身武艺。
烧香老太 一个见佛烧香的老太太，花白的头发松散的梳着发髻，满是皱纹的脸上愁容密布
张龙 这便是开封府霍霍有名的捕头张龙，他身体强壮，看上去武功不错。
孔大官人 开封府中的富户，最近家中似乎有些变故。
素斋师傅 在寺庙中烧饭的和尚。
泼皮 大相国寺附近的泼皮，常到菜园中偷菜。
老僧人 一个老朽的僧人，脸上满是皱纹，眼睛都睁不开来了
烧火僧人 一名专职在灶下烧火的僧人
玄衣少年 一身玄衣的一个少年，似乎对开封的繁华十分向往。
菜贩子 一个老实巴交的农民，卖些新鲜的蔬菜
王老板 王家纸马店老板，为人热诚。
码头工人 这是一名膀大腰圆的码头工人，也许不会什么招式，但力气肯定是有的
船老大 看起来精明能干的中年男子，坚毅的眼神让人心生敬畏。
落魄书生 名衣衫褴褛的书生，右手摇着一柄破扇，面色焦黄，两眼无神。
李四 他长得奸嘴猴腮的，一看就不像是个好人。
陈举人 看起来有些酸腐的书生，正在查看贡院布告牌。
张老知府 开封的前任知府大人，如今虽退休多年，但仍然忧国忧民。
富家弟子 一个白白胖胖的年轻人，一看就知道是娇生惯养惯的富家子。
天波侍卫 天波府侍卫，个个均是能征善战的勇士！
杨排风 容貌俏丽，风姿绰约，自幼在天波杨门长大，性情爽直勇敢，平日里常跟穆桂英练功习武，十八般武艺样样在行。曾被封为“征西先锋将军”，大败西夏国元帅殷奇。因为是烧火丫头出身，且随身武器是烧火棍，所以被宋仁宗封为“火帅”。又因为，民间称赞其为“红颜火帅”。
杨延昭 杨延昭是北宋抗辽名将杨业的长子，契丹人认为北斗七星中的第六颗主镇幽燕北方，是他们的克星，辽人将他看做是天上的六郎星宿下凡，故称为杨六郎。
侍女 一个豆蔻年华的小姑娘，看其身手似也是有一点武功底子的呢。
佘太君 名将之女，自幼受其父兄武略的影响，青年时候就成为一名性机敏、善骑射，文武双全的女将。她与普通的大家闺秀不同，她研习兵法，颇通将略，把戍边御侵、保卫疆域、守护中原民众为己任，协助父兄练兵把关，具备巾帼英雄的气度。夫君边关打仗，她在杨府内组织男女仆人丫环习武，仆人的武技和忠勇之气个个都不亚于边关的士兵
柴郡主 六郎之妻，为后周世宗柴荣之女，宋太祖赵匡胤敕封皇御妹金花郡主。一名巾帼英雄、女中豪杰，成为当时著名的杨门女将之一，有当时天下第一美女之称。
穆桂英 穆柯寨穆羽之女，有沉鱼落雁之容，且武艺超群，巾帼不让须眉。传说有神女传授神箭飞刀之术。因阵前与杨宗保交战，穆桂英生擒宗保并招之成亲，归于杨家将之列，为杨门女将中的杰出人物。
杨文姬 乃天波杨门幺女。体态文秀儒雅、有惊鸿之貌，集万千宠爱于一身，被杨门一族视为掌上明珠。其武学集杨门之大成，却又脱胎于杨门自成一格，实属武林中不可多得的才女。
赵虎 这便是开封府霍霍有名的捕头赵虎，他身体强壮，看上去武功不错。
踏青妇人 春天出来游玩的妇人，略有姿色。
平夫人 方面大耳，眼睛深陷，脸上全无血色。
恶狗 这是一条看家护院的恶狗
平怪医 他身材矮胖，脑袋极大，生两撇鼠须，摇头晃脑，形相十分滑稽。

第十八章 明教
村民 这是村落里的一个村名。
沧桑老人 这是一个满脸沧桑的老人。
村妇 一个村妇。
老太婆 一个满脸皱纹的老太婆。
小男孩 这是个七八岁的小男孩。
神秘女子 这是一个女子
明教小圣使 他是一个明教小圣使。
闻旗使 他是明教巨林旗掌旗使。
韦蝠王 明教四大护法之一，传说喜好吸人鲜血。
彭散玉 明教五散仙之一。
明教小喽啰 明教的一个小喽啰，看起来有点猥琐，而且还有点阴险。
辛旗使 他是明教烈焰旗掌旗使。
布袋大师 他是明教五散仙之一的布袋大师说不得，腰间歪歪斜斜的挂着几支布袋。
颜旗使 严垣是明教深土旗掌旗使。
唐旗使 他是明教白水旗掌旗使。
周散仙 明教五散仙之一
庄旗使 明教耀金旗掌旗使。
杨左使 明教光明左使。
黛龙王 她就是武林中盛传的紫衣龙王，她肤如凝脂，杏眼桃腮，容光照人，端丽难言。虽然已年过中年，但仍风姿嫣然。
明教教众 他是身材矮小，两臂粗壮，膀阔腰圆。他手持兵刃，身穿一黑色圣衣，似乎有一身武艺
九幽毒魔 千夜旗至尊九长老之一，看似一个面容慈祥的白发老人，鹤发童颜，双手隐隐的黑雾却显露了他不世的毒功！
九幽毒童 负责管理九幽毒池的童子们，个个面色阴沉，残忍好杀。
青衣女孩 一个身着青衣的小女孩，被抓来此出准备炼毒之用，虽能感觉到恐惧，但双眼仍透出不屈的顽强
冷步水 他是明教五散仙之一。在他僵硬的面孔上看不出一点表情。
张散仙 明教五散仙之一。长于风雅之做。
冷文臻 冷步水的侄子，较为自傲，且要面子。
殷鹰王 他就是赫赫有名的白眉鹰王，张大教主的外公，曾因不满明教的混乱，独自创立了飞鹰教，自从其外孙成为教主之后，便回归了明教
谢狮王 他就是赫赫有名的金发狮王，张大教主的义父，生性耿直，只因满心仇恨和脾气暴躁而做下了许多憾事。
张教主 年方二十多岁的年轻人。明教现今正统教主，武功集各家之长最全面，修为当世之罕见。
范右使 明教光明右使。
小昭 她双目湛湛有神，修眉端鼻，颊边微现梨涡，真是秀美无伦，只是年纪幼小，身材尚未长成，虽然容貌绝丽，却掩不住容颜中的稚气。
蒙面人 用厚厚面巾蒙着脸上的武士，看不清他的真面目
青衣女孩 一个身着青衣的小女孩，被抓来此出准备炼毒之用，虽能感觉到恐惧，但双眼仍透出不屈的顽强。

第十九章 全真教
野马 一匹健壮的野马。
终南山游客 一个来终南山游玩的游客。
男童 这是一个男童。
全真女弟子 这是一个女道姑。
迎客道长 他是全真教内负责接待客人的道士。
程遥伽 她长相清秀端庄。
事为室、藏经殿、大堂三进 小道童（3种） 他是全真教的一个小道童
练功弟子 这是全真教的练功弟子
尹志平 他是丘处机的得意大弟子尹志平，他粗眉大眼，长的有些英雄气概，在全真教第三代弟子中算得上年轻有为。身材不高，眉宇间似乎有一股忧郁之色。长的倒是长眉俊目，容貌秀雅，面白无须，可惜朱雀和玄武稍有不和。
健马 一匹健壮的大马
李四 这是一个中年道士。
孙不二 她就是全真教二代弟子中唯一的女弟子孙不二孙真人。她本是马钰入道前的妻子，道袍上绣着一个骷髅头。
柴火道士 一个负责柴火的道士。
马钰 他就是王重阳的大弟子，全真七子之首，丹阳子马钰马真人。他慈眉善目，和蔼可亲，正笑着看着你。
重阳祖师 他就是全真教的开山祖师，其身材消瘦，精神矍铄，飘飘然仿佛神仙中人
郝大通 他就是全真七子中的郝大通郝真人。他身材微胖，象个富翁模样，身上穿的道袍双袖皆无。
老顽童 此人年龄虽大但却顽心未改，一头乱糟糟的花白胡子，一双小眼睛透出让人觉得滑稽的神色。
观想兽 一只只有道家之所才有的怪兽
王处一 他就是全真七子之五王处一王真人。他身材修长，服饰整洁，三绺黑须飘在胸前，神态潇洒
老道长 这是一个年老的道人。
青年弟子 一个风程仆仆的侠客。
谭处端 他就是全真次徒谭处端谭真人，他身材魁梧，浓眉大眼，嗓音洪亮，拜重阳真人为师前本是铁匠出身。
鹿道清 他是全真教尹志平门下第四代弟子
刘处玄 他就是全真三徒刘处玄刘真人，他身材瘦小，但顾盼间自有一种威严气概。
掌厨道士 一个负责掌厨的道士。
小麻雀 一只叽叽咋咋的小麻雀。
挑水道士 这是全真教内负责挑水的道士。
老人 这是一个老人，在全真教内已有几十年了。
蜜蜂 一直忙碌的小蜜蜂。
丘处机 他就是江湖上人称‘长春子’的丘处机丘真人，他方面大耳，满面红光，剑目圆睁，双眉如刀，相貌威严，平生疾恶如仇。

第二十章 古墓
小树林 天蛾 蜜蜂的天敌之一。
食虫虻 食肉昆虫，蜜蜂的天敌之一。
草地 白玉蜂 这是一只玉色的蜜蜂，个头比普通蜜蜂大得多，翅膀上被人用尖针刺有字
悬崖 红玉蜂 这是一只玉色的蜜蜂，个头比普通蜜蜂大得多，翅膀上被人用尖针刺有字。
毒蟒 缺
中厅 龙儿 盈盈而站着一位秀美绝俗的女子，肌肤间少了一层血色，显得苍白异常。披著一袭轻纱般的白衣，犹似身在烟中雾里。
密室 林祖师 她就是古墓派的开山祖师，虽然已经是四十许人，望之却还如同三十出头。当年她与全真教主王重阳本是一对痴心爱侣，只可惜有缘无份，只得独自在这古墓上幽居。
小屋 孙婆婆 这是一位慈祥的老婆婆，正看着你微微一笑。

第二十一章 白驮山
戈壁 傅介子 中原朝廷出使西域楼兰国的使臣，气宇轩昂，雍容华度，似也会一些武功。
白驮军阵 青衣盾卫 身着青衣，手持巨盾，是敌军阵前的铁卫，看起来极难对付。
飞羽神箭 百发百中的神箭手，难以近身，必须用暗器武学方可隔空攻击
银狼近卫 主帅身侧的近卫，都是万里挑一的好手
军中主帅 敌军主帅，黑盔黑甲，手持长刀。
玉门关外 玉门守将 一位身经百战的将军，多年驻守此地，脸上满是大漠黄沙和狂风留下的沧桑。
丝绸之路驿站 匈奴杀手 匈奴人杀手，手持弯刀，眼露凶光。
玉门关西门 玉门守军 玉门关的守卫军士，将军百战死，壮士十年归。
西驰马道 玄甲骑兵 黑盔黑甲的天策骑兵，连马也被锃亮的铠甲包裹着。
西车道 车夫 一名驾车的车夫，尘霜满面。
守将府 天策大将 天策府左将军，英勇善战，智勇双全。身穿黑盔黑甲，腰间有一柄火红的长刀。
玄甲参将 天策玄甲军的参将，双目专注，正在认真地看着城防图。
龙门客栈 凤七 无影楼金凤堂堂主，武功卓绝自是不在话下，腕上白玉镯衬出如雪肌肤，脚上一双鎏金鞋用宝石装饰。
马车店 慕容孤烟 英姿飒爽的马车店女老板，汉族和鲜卑族混血，双目深邃，含情脉脉，细卷的栗色长发上夹着一个金色玉蜻蜓。
醉酒男子 此人看似已经喝了不少，面前摆着不下七八个空酒坛，两颊绯红，然而双目却仍是炯炯有神，身长不足七尺，腰别一把看似贵族名士方才有的长剑，谈笑之间雄心勃勃，睥睨天下。男子醉言醉语之间，似是自称青莲居士。
戈壁滩 马匪 这是肆虐戈壁的马匪，长相凶狠，血债累累。
东街 花花公子 这是个流里流气的花花公子。
坟地 寡妇 一个年轻漂亮又不甘寂寞的小寡妇。
小路 农民 一个很健壮的壮年农民。
小山贼 这是个尚未成年的小山贼。
雷震天 雷横天的儿子，与其父亲不同，长得颇为英俊。
山贼 这是个面目可憎的山贼。
杖场 侍杖 他头上包着紫布头巾，一袭紫衫，没有一丝褶皱。
洞内 雷横天 这是个粗鲁的山贼头。一身膘肉，看上去内力极度强劲！
侧洞 金花 一个年少貌美的姑娘。
打铁铺 铁匠 铁匠正用汗流浃背地打铁。
西街 舞蛇人 他是一个西域来的舞蛇人。
酒店 店小二 这位店小二正笑咪咪地忙著招呼客人。
小桥 村姑 一个很清秀的年轻农村姑娘，挎着一只盖着布小篮子。
广场 小孩 这是个农家小孩子
山路 樵夫 一个很健壮的樵夫。
农舍 农家妇女 一个很精明能干的农家妇女。
大门 门卫 这是个年富力强的卫兵，样子十分威严。
武器库 仕卫 这是个样子威严的仕卫。
大厅 丫环 一个很能干的丫环。
欧阳少主 他一身飘逸的白色长衫，手摇折扇，风流儒雅。
练功场 李教头 这是个和蔼可亲的教头。
药房 小青 这是个聪明乖巧的小姑娘，打扮的很朴素，一袭青衣，却也显得落落有致。小青对人非常热情。你要是跟她打过交道就会理解这一点！
草丛 黑冠巨蟒 一只庞然大物，它眼中喷火，好象要一口把你吞下。
金环蛇 一只让人看了起毛骨悚然的金环蛇。
竹叶青蛇 一只让人看了起鸡皮疙瘩的竹叶青蛇。
岩洞 蟒蛇 一只昂首直立，吐着长舌芯的大蟒蛇。
练功房 教练 这是个和蔼可亲的教练。
练功室 陪练童子 这是个陪人练功的陪练童子。
门廊 管家 一个老谋深算的老管家。
花园 白衣少女 一个聪明伶俐的白衣少女。
老毒物 他是白驮山庄主，号称“老毒物”。
厨房 肥肥 一个肥头大耳的厨师，两只小眼睛不停地眨巴着。
柴房 老材 一个有名的吝啬鬼，好象他整日看守着柴房也能发财似的
兔苑 白兔 一只雪白的小白兔，可爱之致。
蛇园 驯蛇人 蛇园里面的驯蛇人，替白驼山庄驯养各种毒蛇。
兽舍 野狼 一只独行的野狼，半张着的大嘴里露着几颗獠牙。
雄狮 一只矫健的雄狮，十分威风。
狐狸 一只多疑成性的狐狸。
老虎 一只斑斓猛虎，雄伟极了。
后院 张妈 一个历经沧桑的老婆婆。

第二十二章 嵩山
太室阙 脚夫 五大三粗的汉子，看起来会些拳脚功夫。
青石大道 秋半仙 一名算命道士，灰色道袍上缀着几个补丁。
风骚少妇 一个风骚的少妇，颇有几分姿色。
中岳庙 锦袍老人 神情威猛须发花白的老人，看起来武功修为颇高。
青岗坪 柳易之 朝廷通事舍人，负责传达皇帝旨意。
卢鸿草堂 卢鸿一 一名布衣老者，慈眉善目，须发皆白。
卢崖瀑布 英元鹤 这是一名枯瘦矮小的黑衣老人，一双灰白的耳朵看起来有些诡异。
瀑布山洞 马帮精锐 身材异常高大的男子，眼神中充满杀气，脸上满布虬龙似的伤疤。
启母阙 游客 来嵩山游玩的男子，书生打扮，看来来颇为儒雅。
魔云洞口 吸血蝙蝠 一只体型巨大的吸血蝙蝠。
魔云洞空地 瞎眼剑客 一名黑衣剑客，双面失明。
东侧山洞 瞎眼刀客 一名黑衣刀客，双面失明。
危崖 瞎眼老者 这是一名黑衣瞎眼老者，看起来武功修为颇高。
嵩岳山道 野狼 山林觅食的野狼，看起来很饿。
嵩阳书院 林立德 在嵩阳书院进学的书生，看起来有些木讷。
石阶 山贼 拦路抢劫的山贼
无极老姆洞 修行道士 在嵩山隐居修行的道士
密林小径 黄色毒蛇 一条吐舌蛇信子的毒蛇。
洗耳泉 麻衣刀客 一身麻衣，头戴斗笠的刀客
石洞 白板煞星 没有鼻子，脸孔平平，像一块白板，看起来极为可怖
山楂林 小猴 这是一只调皮的小猴子，虽是畜牲，却喜欢模仿人样。
朝天门 万大平 嵩山弟子，看起来很普通。
峻极山道 嵩山弟子 这是一名嵩山弟子，武功看起来稀松平常。
酸枣林 芙儿 一名身穿淡绿衫子的少女，只见她脸如白玉，颜若朝华，真是艳冠群芳的绝色美人。
封禅台 麻衣汉子 头戴斗笠，身材瘦长，一身麻衣的中年男子，看起来有些诡异。
峻极禅院 史师兄 嵩山派大弟子，武功修为颇高。
会盟堂 白头仙翁 嵩山派高手，年纪不大，头花却已全白。
剑池 左罗 左掌门的侄子，武功平平，但多谋善断，有传闻说他是左掌门的亲生儿子。
左挺 冷面短髯，相貌堂皇的青年汉子。
西长廊 乐老狗 这人矮矮胖胖，面皮黄肿，约莫五十来岁年纪，目神光炯炯，凛然生威，两只手掌肥肥的又小又厚。
厨房 伙夫 一名肥头大耳的伙夫，负责打理嵩山派一众大小伙食。
